I Pace 1200,MP mile,T Pace 1000,R Pace 800,I Pace .68 mile,T Pace 400,VDOT,I Pace 1000,R Pace 200,E/L Pace km,E/L Pace mile,T Pace .68 mile,I Pace 400,I Pace mile,R Pace 400,T Pace 800,T Pace mile
-,661.0,384.0,-,-,153.0,30.0,-,67.0,472.0,760.0,420.0,142.0,-,136.0,307.0,618.0
-,645.0,374.0,-,-,150.0,31.0,-,65.0,461.0,742.0,409.0,138.0,-,132.0,299.0,602.0
-,629.0,365.0,-,-,146.0,32.0,-,63.0,450.0,724.0,399.0,134.0,-,128.0,292.0,587.0
-,614.0,356.0,-,-,143.0,33.0,-,62.0,440.0,708.0,390.0,131.0,-,125.0,285.0,573.0
-,600.0,348.0,-,-,139.0,34.0,-,60.0,430.0,692.0,381.0,128.0,-,122.0,278.0,560.0
-,586.0,340.0,-,-,136.0,35.0,-,59.0,421.0,677.0,372.0,125.0,-,119.0,272.0,547.0
-,573.0,333.0,-,-,133.0,36.0,-,57.0,412.0,662.0,364.0,122.0,-,115.0,266.0,535.0
-,560.0,325.0,-,-,130.0,37.0,300.0,56.0,403.0,649.0,356.0,119.0,-,113.0,260.0,524.0
-,548.0,319.0,-,-,127.0,38.0,294.0,54.0,395.0,635.0,349.0,116.0,-,110.0,255.0,513.0
-,537.0,312.0,-,-,125.0,39.0,288.0,53.0,387.0,623.0,341.0,114.0,-,108.0,250.0,502.0
-,526.0,306.0,-,-,122.0,40.0,282.0,52.0,379.0,611.0,335.0,112.0,-,106.0,245.0,492.0
-,515.0,300.0,-,300.0,120.0,41.0,276.0,51.0,372.0,599.0,328.0,110.0,-,104.0,240.0,482.0
-,505.0,294.0,-,295.0,117.0,42.0,271.0,50.0,365.0,588.0,322.0,108.0,-,102.0,235.0,472.0
-,495.0,289.0,-,290.0,115.0,43.0,266.0,49.0,358.0,577.0,316.0,106.0,-,100.0,231.0,462.0
-,486.0,283.0,-,285.0,113.0,44.0,261.0,48.0,352.0,567.0,309.0,104.0,-,98.0,226.0,453.0
-,477.0,278.0,-,280.0,111.0,45.0,256.0,47.0,346.0,557.0,304.0,102.0,-,96.0,222.0,445.0
300.0,468.0,273.0,-,275.0,109.0,46.0,252.0,46.0,340.0,547.0,298.0,100.0,-,94.0,218.0,437.0
294.0,460.0,269.0,-,269.0,107.0,47.0,247.0,45.0,334.0,538.0,294.0,98.0,-,92.0,215.0,430.0
289.0,452.0,264.0,-,265.0,105.0,48.0,243.0,44.0,328.0,529.0,288.0,96.0,-,90.0,211.0,422.0
285.0,444.0,260.0,-,261.0,103.0,49.0,239.0,44.0,323.0,520.0,284.0,95.0,-,89.0,208.0,415.0
281.0,437.0,255.0,-,257.0,102.0,50.0,235.0,43.0,318.0,512.0,279.0,93.0,-,87.0,204.0,411.0
276.0,429.0,251.0,-,252.0,100.0,51.0,231.0,42.0,313.0,504.0,275.0,92.0,-,86.0,201.0,404.0
273.0,422.0,247.0,-,249.0,98.0,52.0,228.0,42.0,308.0,496.0,270.0,91.0,-,85.0,197.0,398.0
269.0,416.0,244.0,-,245.0,97.0,53.0,224.0,41.0,304.0,489.0,267.0,90.0,-,84.0,195.0,392.0
265.0,409.0,240.0,-,242.0,95.0,54.0,221.0,40.0,299.0,481.0,263.0,88.0,-,82.0,192.0,386.0
261.0,403.0,236.0,-,238.0,94.0,55.0,217.0,40.0,295.0,474.0,258.0,87.0,-,81.0,189.0,380.0
258.0,397.0,233.0,-,235.0,93.0,56.0,214.0,39.0,290.0,468.0,255.0,86.0,-,80.0,186.0,375.0
255.0,391.0,230.0,-,232.0,91.0,57.0,211.0,39.0,286.0,461.0,252.0,85.0,-,79.0,184.0,369.0
250.0,385.0,225.0,-,228.0,90.0,58.0,208.0,38.0,282.0,454.0,247.0,83.0,-,77.0,180.0,364.0
247.0,379.0,223.0,-,225.0,89.0,59.0,205.0,37.0,278.0,448.0,244.0,82.0,-,76.0,178.0,359.0
243.0,374.0,220.0,150.0,222.0,88.0,60.0,203.0,37.0,275.0,442.0,241.0,81.0,-,75.0,176.0,354.0
240.0,369.0,217.0,148.0,219.0,86.0,61.0,200.0,36.0,271.0,436.0,238.0,80.0,-,74.0,173.0,350.0
237.0,364.0,214.0,146.0,216.0,85.0,62.0,197.0,36.0,267.0,431.0,234.0,79.0,-,73.0,171.0,345.0
234.0,359.0,212.0,144.0,213.0,84.0,63.0,195.0,35.0,264.0,425.0,232.0,78.0,-,72.0,169.0,341.0
231.0,354.0,209.0,142.0,210.0,83.0,64.0,192.0,35.0,261.0,420.0,229.0,77.0,-,71.0,167.0,336.0
228.0,349.0,206.0,140.0,208.0,82.0,65.0,190.0,34.0,258.0,414.0,226.0,76.0,-,70.0,165.0,332.0
225.0,345.0,204.0,138.0,205.0,81.0,66.0,188.0,34.0,254.0,409.0,223.0,75.0,300.0,69.0,163.0,328.0
222.0,340.0,201.0,136.0,202.0,80.0,67.0,185.0,33.0,251.0,404.0,220.0,74.0,4.57,68.0,161.0,324.0
219.0,336.0,199.0,134.0,200.0,79.0,68.0,183.0,33.0,248.0,399.0,218.0,73.0,4.53,67.0,159.0,320.0
216.0,332.0,196.0,132.0,198.0,78.0,69.0,181.0,32.0,245.0,395.0,215.0,72.0,4.5,66.0,157.0,316.0
214.0,328.0,194.0,130.0,196.0,77.0,70.0,179.0,32.0,242.0,390.0,212.0,71.0,4.46,65.0,155.0,313.0
211.0,324.0,192.0,128.0,193.0,76.0,71.0,177.0,31.0,240.0,386.0,210.0,70.0,4.43,64.0,153.0,309.0
209.0,320.0,190.0,126.0,191.0,76.0,72.0,175.0,31.0,237.0,381.0,208.0,69.0,4.4,63.0,152.0,305.0
207.0,316.0,188.0,125.0,189.0,75.0,73.0,173.0,31.0,234.0,377.0,206.0,69.0,4.37,62.0,150.0,302.0
205.0,312.0,186.0,124.0,187.0,74.0,74.0,171.0,30.0,232.0,373.0,203.0,68.0,4.34,62.0,149.0,299.0
202.0,309.0,184.0,123.0,185.0,74.0,75.0,169.0,30.0,229.0,369.0,201.0,67.0,4.31,61.0,147.0,296.0
200.0,305.0,182.0,122.0,183.0,73.0,76.0,168.0,29.0,227.0,365.0,199.0,66.0,4.28,60.0,146.0,292.0
198.0,301.0,180.0,120.0,181.0,72.0,77.0,166.0,29.0,224.0,361.0,197.0,65.0,4.25,59.0,144.0,289.0
196.0,298.0,178.0,119.0,179.0,71.0,78.0,164.0,29.0,222.0,357.0,195.0,65.0,4.23,59.0,142.0,286.0
194.0,295.0,176.0,118.0,177.0,70.0,79.0,162.0,28.0,220.0,354.0,193.0,64.0,4.2,58.0,141.0,283.0
192.0,292.0,174.0,116.0,176.0,70.0,80.0,161.0,28.0,218.0,350.0,191.0,64.0,4.17,58.0,139.0,281.0
190.0,289.0,173.0,115.0,174.0,69.0,81.0,159.0,28.0,215.0,346.0,189.0,63.0,4.15,57.0,138.0,278.0
188.0,286.0,171.0,114.0,172.0,68.0,82.0,158.0,27.0,213.0,343.0,187.0,62.0,4.12,56.0,137.0,275.0
187.0,283.0,169.0,113.0,171.0,68.0,83.0,156.0,27.0,211.0,340.0,185.0,62.0,4.1,56.0,135.0,272.0
185.0,280.0,168.0,112.0,169.0,67.0,84.0,155.0,27.0,209.0,336.0,184.0,61.0,4.08,55.0,134.0,270.0
183.0,277.0,166.0,111.0,167.0,66.0,85.0,153.0,27.0,207.0,333.0,182.0,61.0,245.0,55.0,133.0,267.0
